"","work_year","job_category","salary_in_usd","experience_level","employment_type","work_setting","company_size","is_Data_Engineer","is_Data_Scientist","is_Data_Analyst","is_Machine_Learning_Engineer","is_Applied_Scientist","is_Research_Scientist","is_Analytics_Engineer","is_Data_Architect","is_residence_US"
"8271",2022,"Data Science and Research",88100,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8272",2022,"Data Science and Research",120000,"Senior","Full-time","Remote","S",0,1,0,0,0,0,0,0,1
"8273",2022,"Data Science and Research",55000,"Senior","Full-time","Remote","S",0,1,0,0,0,0,0,0,1
"8274",2022,"Data Science and Research",185900,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8275",2022,"Data Science and Research",129300,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8276",2022,"Data Engineering",191200,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8277",2022,"Data Engineering",130000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8278",2022,"Data Analysis",169000,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"8279",2022,"Data Analysis",110600,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"8280",2022,"Leadership and Management",150000,"Senior","Full-time","In-person","M",0,0,0,0,0,0,1,0,1
"8281",2022,"Leadership and Management",120000,"Senior","Full-time","In-person","M",0,0,0,0,0,0,1,0,1
"8282",2022,"Data Science and Research",139000,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"8283",2022,"Data Science and Research",122000,"Senior","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"8284",2022,"Data Science and Research",185900,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8285",2022,"Data Science and Research",129300,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8286",2022,"Data Analysis",139600,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"8287",2022,"Data Analysis",85700,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"8288",2022,"Data Engineering",185000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8289",2022,"Data Engineering",50000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8290",2022,"Data Engineering",185900,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
